[1947, 2015, 2024, '150cm', 'amb', '#cfa07d', '662406624']
[1952, 2012, 2028, '157cm', 'blu', '#733820', '915063263']
[1961, 2018, 2023, '155cm', 'grn', '#efcc98', '490625944']
[1983, 2017, 2027, '172cm', 'grn', '#623a2f', '491396731']
[1983, 2018, 2021, '160cm', 'grn', '#fffffd', '714591144']
[1987, 2018, 2027, '63in', 'blu', '#ceb3a1', '397963077']
[1984, 2012, 2027, '184cm', 'blu', '#6b5442', '196287205']
[1964, 2017, 2028, '169cm', 'grn', '#623a2f', '198467794']
[1991, 2019, 2027, '164cm', 'amb', '#341e13', '282852411']
[1931, 2014, 2020, '158cm', 'grn', '#866857', '321748597']
[1953, 2016, 2026, '157cm', 'blu', '#fd033b', '502619036']
[1931, 2016, 2027, '161cm', 'blu', '#733820', '842400950']
[1936, 2016, 2025, '70in', 'amb', '#98cbe3', '204952666']
[1979, 2016, 2025, '193cm', 'amb', '#c0946f', '579385370']
[1946, 2020, 2029, '172cm', 'grn', '#cfa07d', '278271295']
[1983, 2017, 2020, '179cm', 'oth', '#fffffd', '731752614']
[1969, 2013, 2030, '164cm', 'brn', '#cbf9c9', '022724981']
[1974, 2015, 2023, '162cm', 'blu', '#3d3011', '927525094']
[1945, 2018, 2020, '157cm', 'amb', '#fffffd', '221286943']
[1969, 2016, 2027, '192cm', 'brn', '#fffffd', '866607511']
[1958, 2015, 2022, '64in', 'amb', '#ceb3a1', '720439412']
[1988, 2016, 2024, '159cm', 'oth', '#fffffd', '187867283']
[1954, 2016, 2028, '182cm', 'blu', '#602927', '718692455']
[1933, 2011, 2021, '179cm', 'amb', '#341e13', '083172316']
[1951, 2020, 2028, '192cm', 'gry', '#888785', '993701676']
[1920, 2015, 2024, '173cm', 'brn', '#a97842', '176967666']
[1930, 2015, 2025, '179cm', 'brn', '#a97842', '792694131']
[1960, 2012, 2022, '167cm', 'blu', '#efcc98', '431515059']
[1938, 2012, 2023, '188cm', 'grn', '#cfa07d', '081575957']
[1973, 2010, 2026, '181cm', 'brn', '#888785', '880191154']
[1942, 2010, 2021, '171cm', 'hzl', '#7d3b0c', '886241926']
[1935, 2012, 2022, '154cm', 'gry', '#733820', '555911148']
[1955, 2010, 2024, '166cm', 'blu', '#b6652a', '517975316']
[1973, 2019, 2024, '173cm', 'blu', '#fffffd', '133785752']
[1995, 2010, 2030, '193cm', 'grn', '#18171d', '727880050']
[1923, 2012, 2027, '152cm', 'brn', '#18171d', '513722888']
[1974, 2017, 2024, '154cm', 'amb', '#6b5442', '470968353']
[1975, 2018, 2028, '184cm', 'oth', '#617375', '735589126']
[1985, 2016, 2029, '192cm', 'blu', '#602927', '620818510']
[1968, 2011, 2029, '183cm', 'blu', '#efcc98', '952376140']
[1981, 2020, 2028, '159cm', 'brn', '#7d3b0c', '850136149']
[1946, 2015, 2022, '65in', 'brn', '#602927', '480452858']
[1977, 2019, 2029, '159cm', 'grn', '#733820', '837224515']
[1964, 2019, 2030, '61in', 'grn', '#cfa07d', '974518338']
[1961, 2019, 2027, '177cm', 'blu', '#6b5442', '235426720']
[1951, 2018, 2025, '161cm', 'grn', '#44d03a', '916160791']
[1942, 2012, 2026, '158cm', 'gry', '#602927', '651231060']
[1986, 2018, 2028, '181cm', 'hzl', '#a97842', '086942161']
[1965, 2018, 2027, '153cm', 'blu', '#733820', '278922687']
[1937, 2010, 2023, '178cm', 'grn', '#341e13', '290981079']
[1943, 2019, 2026, '166cm', 'amb', '#888785', '559804716']
[1960, 2016, 2029, '173cm', 'gry', '#341e13', '947831563']
[1958, 2016, 2028, '192cm', 'blu', '#623a2f', '724632073']
[1963, 2013, 2023, '172cm', 'hzl', '#efcc98', '290433211']
[1925, 2015, 2021, '160cm', 'gry', '#341e13', '745674970']
[1947, 2019, 2021, '168cm', 'blu', '#341e13', '596411633']
[1988, 2019, 2029, '160cm', 'hzl', '#18171d', '110591871']
[1948, 2013, 2026, '186cm', 'brn', '#8f4c9b', '010260339']
[1978, 2020, 2022, '193cm', 'amb', '#18171d', '259501214']
[1949, 2019, 2022, '174cm', 'oth', '#18171d', '305857230']
[2002, 2019, 2022, '188cm', 'gry', '#a97842', '971971076']
[1998, 2010, 2027, '159cm', 'blu', '#6b5442', '221315043']
[1926, 2010, 2022, '181cm', 'grn', '#888785', '433807814']
[1951, 2017, 2021, '164cm', 'grn', '#18171d', '845508281']
[1987, 2012, 2027, '189cm', 'hzl', '#623a2f', '497429747']
[2000, 2017, 2029, '165cm', 'blu', '#a97842', '519443292']
[1941, 2015, 2023, '179cm', 'amb', '#18171d', '038299774']
[2000, 2017, 2025, '173cm', 'oth', '#fffffd', '334154607']
[1996, 2018, 2026, '180cm', 'amb', '#888785', '709543988']
[1966, 2020, 2020, '169cm', 'hzl', '#7d3b0c', '611918000']
[1987, 2015, 2022, '164cm', 'brn', '#6b5442', '192054454']
[1990, 2015, 2022, '167cm', 'gry', '#b6652a', '847614726']
[1940, 2016, 2027, '152cm', 'oth', '#c0946f', '886247173']
[1932, 2020, 2025, '152cm', 'oth', '#48cfdf', '246230621']
[1999, 2011, 2030, '152cm', 'amb', '#602927', '871180042']
[1934, 2019, 2024, '171cm', 'hzl', '#b6652a', '356408125']
[1934, 2016, 2023, '67in', 'oth', '#7d3b0c', '191785527']
[1970, 2014, 2026, '162cm', 'grn', '#b6652a', '675238417']
[1968, 2018, 2022, '167cm', 'hzl', '#a97842', '940968694']
[1946, 2018, 2029, '182cm', 'hzl', '#ceb3a1', '602345030']
[1974, 2019, 2028, '180cm', 'amb', '#6b5442', '183825747']
[1924, 2017, 2022, '185cm', 'brn', '#efcc98', '576495225']
[1965, 2020, 2028, '167cm', 'brn', '#888785', '752062953']
[1996, 2015, 2026, '157cm', 'amb', '#efcc98', '507323629']
[1982, 2015, 2028, '152cm', 'hzl', '#6b5442', '003269467']
[1966, 2017, 2026, '189cm', 'blu', '#7d3b0c', '160330947']
[1963, 2010, 2029, '164cm', 'amb', '#efcc98', '596606374']
[1968, 2012, 2026, '154cm', 'hzl', '#fffffd', '102326370']
[1948, 2016, 2022, '74in', 'oth', '#6b5442', '477189554']
[1995, 2017, 2026, '175cm', 'hzl', '#a97842', '917039291']
[1957, 2017, 2028, '158cm', 'amb', '#623a2f', '756519868']
[1989, 2011, 2022, '193cm', 'blu', '#a97842', '520765501']
[1959, 2016, 2022, '162cm', 'blu', '#733820', '751629408']
[1969, 2011, 2028, '186cm', 'grn', '#a97842', '460360492']
[1925, 2019, 2028, '191cm', 'blu', '#ceb3a1', '737842199']
[1943, 2017, 2021, '179cm', 'grn', '#efcc98', '868397851']
[1987, 2019, 2023, '152cm', 'grn', '#623a2f', '473569020']
[1971, 2017, 2030, '175cm', 'blu', '#623a2f', '953968630']
[1993, 2012, 2021, '64in', 'amb', '#866857', '876581393']
[1996, 2017, 2028, '177cm', 'hzl', '#c0946f', '038990744']
[1939, 2019, 2021, '187cm', 'hzl', '#4214a6', '783071912']
[1950, 2015, 2020, '158cm', 'brn', '#bf9b5e', '274060737']
[1921, 2011, 2030, '155cm', 'brn', '#7d3b0c', '718399669']
[1975, 2010, 2021, '167cm', 'grn', '#6b5442', '285479783']
[1927, 2020, 2026, '158cm', 'gry', '#94007d', '361561551']
[1981, 2011, 2026, '167cm', 'amb', '#c0946f', '836559549']
[1920, 2011, 2026, '182cm', 'blu', '#602927', '111085991']
[1929, 2010, 2027, '75in', 'oth', '#6b5442', '284436132']
[1987, 2018, 2029, '180cm', 'blu', '#7d3b0c', '878348021']
[1926, 2017, 2030, '190cm', 'hzl', '#b6652a', '039638764']
158
[1947, 2015, 2024, '150cm', 'amb', '#cfa07d', '662406624']
[1997, 2013, 2027, '182cm', 'gry', '#ceb3a1', '018128535']
[1980, 2011, 2026, '184cm', 'grn', '#a97842', '726519569']
[1980, 2012, 2027, '176cm', 'grn', '#6b5442', '619743219']
[1969, 2014, 2020, '164cm', 'brn', '#602927', '982796633']
[1957, 2010, 2020, '176cm', 'brn', '#efcc98', '322719183']
[1954, 2019, 2029, '178cm', 'blu', '#38f7fd', '838813262']
[1927, 2020, 2023, '192cm', 'amb', '#18171d', '242570886']
[1953, 2010, 2023, '181cm', 'hzl', '#866857', '568185567']
[1924, 2010, 2020, '156cm', 'amb', '#7d3b0c', '795497164']
[1921, 2011, 2024, '165cm', 'gry', '#18171d', '474303066']
[1949, 2020, 2029, '191cm', 'amb', '#6b5442', '075846582']
[1956, 2014, 2023, '191cm', 'gry', '#a97842', '645548969']
[1950, 2015, 2022, '159cm', 'amb', '#ceb3a1', '620857794']
[1937, 2020, 2021, '177cm', 'blu', '#22b774', '735047371']
[1933, 2019, 2020, '193cm', 'hzl', '#6b5442', '348486702']
[1928, 2012, 2028, '175cm', 'gry', '#fffffd', '571149069']
[1963, 2017, 2028, '175cm', 'grn', '#cfa07d', '160915270']
[1973, 2020, 2024, '171cm', 'gry', '#733820', '569740130']
[1937, 2016, 2027, '181cm', 'gry', '#b6652a', '521705827']
[2000, 2019, 2024, '156cm', 'blu', '#866857', '662418718']
[1971, 2016, 2023, '175cm', 'gry', '#efcc98', '693616099']
[1986, 2013, 2024, '188cm', 'gry', '#b6652a', '414295491']
[1975, 2020, 2022, '151cm', 'grn', '#a97842', '229803943']
[2001, 2012, 2021, '172cm', 'hzl', '#866857', '990590217']
[1933, 2018, 2028, '165cm', 'gry', '#602927', '658484617']
[1950, 2016, 2023, '188cm', 'oth', '#cfa07d', '056975690']
[1974, 2020, 2024, '191cm', 'gry', '#fffffd', '153555359']
[1931, 2020, 2022, '171cm', 'grn', '#b6652a', '552331609']
[1967, 2010, 2020, '177cm', 'blu', '#7d3b0c', '934058099']
[1981, 2019, 2020, '159cm', 'brn', '#a97842', '149148750']
[1968, 2015, 2021, '192cm', 'grn', '#888785', '777786047']
[1954, 2013, 2030, '173cm', 'blu', '#733820', '610226642']
[1999, 2015, 2023, '181cm', 'amb', '#a97842', '912145128']
[1965, 2013, 2027, '188cm', 'oth', '#341e13', '080715145']
[1929, 2016, 2028, '167cm', 'hzl', '#623a2f', '208417572']
[1938, 2014, 2023, '59in', 'grn', '#6b5442', '205268145']
[1920, 2015, 2026, '183cm', 'gry', '#b6652a', '047489285']
[1981, 2011, 2026, '186cm', 'amb', '#6b5442', '756830713']
[1986, 2013, 2025, '169cm', 'hzl', '#cfa07d', '679487194']
[1973, 2013, 2026, '167cm', 'grn', '#866857', '523515724']
[1966, 2016, 2020, '59in', 'brn', '#ceb3a1', '696621560']
[1925, 2012, 2021, '169cm', 'amb', '#6b5442', '969150085']
[1992, 2016, 2027, '175cm', 'brn', '#866857', '415209726']
[1940, 2017, 2025, '151cm', 'grn', '#6b5442', '115098205']
[1975, 2020, 2030, '179cm', 'gry', '#efcc98', '709548547']
[1992, 2013, 2029, '166cm', 'hzl', '#888785', '160053490']
[1928, 2010, 2027, '154cm', 'blu', '#a97842', '717041634']
[1937, 2013, 2028, '179cm', 'hzl', '#888785', '065528723']
[1952, 2012, 2028, '157cm', 'blu', '#733820', '915063263']
[1961, 2018, 2023, '155cm', 'grn', '#efcc98', '490625944']
[1983, 2017, 2027, '172cm', 'grn', '#623a2f', '491396731']
[1983, 2018, 2021, '160cm', 'grn', '#fffffd', '714591144']
[1987, 2018, 2027, '63in', 'blu', '#ceb3a1', '397963077']
[1984, 2012, 2027, '184cm', 'blu', '#6b5442', '196287205']
[1964, 2017, 2028, '169cm', 'grn', '#623a2f', '198467794']
[1991, 2019, 2027, '164cm', 'amb', '#341e13', '282852411']
[1931, 2014, 2020, '158cm', 'grn', '#866857', '321748597']
[1953, 2016, 2026, '157cm', 'blu', '#fd033b', '502619036']
[1931, 2016, 2027, '161cm', 'blu', '#733820', '842400950']
[1936, 2016, 2025, '70in', 'amb', '#98cbe3', '204952666']
[1979, 2016, 2025, '193cm', 'amb', '#c0946f', '579385370']
[1946, 2020, 2029, '172cm', 'grn', '#cfa07d', '278271295']
[1983, 2017, 2020, '179cm', 'oth', '#fffffd', '731752614']
[1969, 2013, 2030, '164cm', 'brn', '#cbf9c9', '022724981']
[1974, 2015, 2023, '162cm', 'blu', '#3d3011', '927525094']
[1945, 2018, 2020, '157cm', 'amb', '#fffffd', '221286943']
[1969, 2016, 2027, '192cm', 'brn', '#fffffd', '866607511']
[1958, 2015, 2022, '64in', 'amb', '#ceb3a1', '720439412']
[1988, 2016, 2024, '159cm', 'oth', '#fffffd', '187867283']
[1954, 2016, 2028, '182cm', 'blu', '#602927', '718692455']
[1933, 2011, 2021, '179cm', 'amb', '#341e13', '083172316']
[1951, 2020, 2028, '192cm', 'gry', '#888785', '993701676']
[1920, 2015, 2024, '173cm', 'brn', '#a97842', '176967666']
[1930, 2015, 2025, '179cm', 'brn', '#a97842', '792694131']
[1960, 2012, 2022, '167cm', 'blu', '#efcc98', '431515059']
[1938, 2012, 2023, '188cm', 'grn', '#cfa07d', '081575957']
[1973, 2010, 2026, '181cm', 'brn', '#888785', '880191154']
[1942, 2010, 2021, '171cm', 'hzl', '#7d3b0c', '886241926']
[1935, 2012, 2022, '154cm', 'gry', '#733820', '555911148']
[1955, 2010, 2024, '166cm', 'blu', '#b6652a', '517975316']
[1973, 2019, 2024, '173cm', 'blu', '#fffffd', '133785752']
[1995, 2010, 2030, '193cm', 'grn', '#18171d', '727880050']
[1923, 2012, 2027, '152cm', 'brn', '#18171d', '513722888']
[1974, 2017, 2024, '154cm', 'amb', '#6b5442', '470968353']
[1975, 2018, 2028, '184cm', 'oth', '#617375', '735589126']
[1985, 2016, 2029, '192cm', 'blu', '#602927', '620818510']
[1968, 2011, 2029, '183cm', 'blu', '#efcc98', '952376140']
[1981, 2020, 2028, '159cm', 'brn', '#7d3b0c', '850136149']
[1946, 2015, 2022, '65in', 'brn', '#602927', '480452858']
[1977, 2019, 2029, '159cm', 'grn', '#733820', '837224515']
[1964, 2019, 2030, '61in', 'grn', '#cfa07d', '974518338']
[1961, 2019, 2027, '177cm', 'blu', '#6b5442', '235426720']
[1951, 2018, 2025, '161cm', 'grn', '#44d03a', '916160791']
[1942, 2012, 2026, '158cm', 'gry', '#602927', '651231060']
[1986, 2018, 2028, '181cm', 'hzl', '#a97842', '086942161']
[1965, 2018, 2027, '153cm', 'blu', '#733820', '278922687']
[1937, 2010, 2023, '178cm', 'grn', '#341e13', '290981079']
[1943, 2019, 2026, '166cm', 'amb', '#888785', '559804716']
[1960, 2016, 2029, '173cm', 'gry', '#341e13', '947831563']
[1958, 2016, 2028, '192cm', 'blu', '#623a2f', '724632073']
[1963, 2013, 2023, '172cm', 'hzl', '#efcc98', '290433211']
[1925, 2015, 2021, '160cm', 'gry', '#341e13', '745674970']
[1947, 2019, 2021, '168cm', 'blu', '#341e13', '596411633']
[1988, 2019, 2029, '160cm', 'hzl', '#18171d', '110591871']
[1948, 2013, 2026, '186cm', 'brn', '#8f4c9b', '010260339']
[1978, 2020, 2022, '193cm', 'amb', '#18171d', '259501214']
[1949, 2019, 2022, '174cm', 'oth', '#18171d', '305857230']
[2002, 2019, 2022, '188cm', 'gry', '#a97842', '971971076']
[1998, 2010, 2027, '159cm', 'blu', '#6b5442', '221315043']
[1926, 2010, 2022, '181cm', 'grn', '#888785', '433807814']
[1951, 2017, 2021, '164cm', 'grn', '#18171d', '845508281']
[1987, 2012, 2027, '189cm', 'hzl', '#623a2f', '497429747']
[2000, 2017, 2029, '165cm', 'blu', '#a97842', '519443292']
[1941, 2015, 2023, '179cm', 'amb', '#18171d', '038299774']
[2000, 2017, 2025, '173cm', 'oth', '#fffffd', '334154607']
[1996, 2018, 2026, '180cm', 'amb', '#888785', '709543988']
[1966, 2020, 2020, '169cm', 'hzl', '#7d3b0c', '611918000']
[1987, 2015, 2022, '164cm', 'brn', '#6b5442', '192054454']
[1990, 2015, 2022, '167cm', 'gry', '#b6652a', '847614726']
[1940, 2016, 2027, '152cm', 'oth', '#c0946f', '886247173']
[1932, 2020, 2025, '152cm', 'oth', '#48cfdf', '246230621']
[1999, 2011, 2030, '152cm', 'amb', '#602927', '871180042']
[1934, 2019, 2024, '171cm', 'hzl', '#b6652a', '356408125']
[1934, 2016, 2023, '67in', 'oth', '#7d3b0c', '191785527']
[1970, 2014, 2026, '162cm', 'grn', '#b6652a', '675238417']
[1968, 2018, 2022, '167cm', 'hzl', '#a97842', '940968694']
[1946, 2018, 2029, '182cm', 'hzl', '#ceb3a1', '602345030']
[1974, 2019, 2028, '180cm', 'amb', '#6b5442', '183825747']
[1924, 2017, 2022, '185cm', 'brn', '#efcc98', '576495225']
[1965, 2020, 2028, '167cm', 'brn', '#888785', '752062953']
[1996, 2015, 2026, '157cm', 'amb', '#efcc98', '507323629']
[1982, 2015, 2028, '152cm', 'hzl', '#6b5442', '003269467']
[1966, 2017, 2026, '189cm', 'blu', '#7d3b0c', '160330947']
[1963, 2010, 2029, '164cm', 'amb', '#efcc98', '596606374']
[1968, 2012, 2026, '154cm', 'hzl', '#fffffd', '102326370']
[1948, 2016, 2022, '74in', 'oth', '#6b5442', '477189554']
[1995, 2017, 2026, '175cm', 'hzl', '#a97842', '917039291']
[1957, 2017, 2028, '158cm', 'amb', '#623a2f', '756519868']
[1989, 2011, 2022, '193cm', 'blu', '#a97842', '520765501']
[1959, 2016, 2022, '162cm', 'blu', '#733820', '751629408']
[1969, 2011, 2028, '186cm', 'grn', '#a97842', '460360492']
[1925, 2019, 2028, '191cm', 'blu', '#ceb3a1', '737842199']
[1943, 2017, 2021, '179cm', 'grn', '#efcc98', '868397851']
[1987, 2019, 2023, '152cm', 'grn', '#623a2f', '473569020']
[1971, 2017, 2030, '175cm', 'blu', '#623a2f', '953968630']
[1993, 2012, 2021, '64in', 'amb', '#866857', '876581393']
[1996, 2017, 2028, '177cm', 'hzl', '#c0946f', '038990744']
[1939, 2019, 2021, '187cm', 'hzl', '#4214a6', '783071912']
[1950, 2015, 2020, '158cm', 'brn', '#bf9b5e', '274060737']
[1921, 2011, 2030, '155cm', 'brn', '#7d3b0c', '718399669']
[1975, 2010, 2021, '167cm', 'grn', '#6b5442', '285479783']
[1927, 2020, 2026, '158cm', 'gry', '#94007d', '361561551']
[1981, 2011, 2026, '167cm', 'amb', '#c0946f', '836559549']
[1920, 2011, 2026, '182cm', 'blu', '#602927', '111085991']
[1929, 2010, 2027, '75in', 'oth', '#6b5442', '284436132']
[1987, 2018, 2029, '180cm', 'blu', '#7d3b0c', '878348021']
[1926, 2017, 2030, '190cm', 'hzl', '#b6652a', '039638764']
158
